scaled-distance_english,scaled_at_english,scaled-distance_metric,scaled_at_metric
2.34,0.35,0.928272942,0.455525733
3.4,0.64,1.34877265,0.83296134
3.87,0.78,1.535220634,1.015171633
4.36,1,1.729602575,1.301502094
4.66,1.12,1.848611926,1.457682345
4.99,1.27,1.979522213,1.65290766
5.02,1.32,1.991423148,1.717982764
5.57,1.55,2.209606959,2.017328246
5.84,1.75,2.316715376,2.277628665
6.11,1.79,2.423823792,2.329688749
6.84,2.34,2.713413214,3.0455149
6.89,2.34,2.733248106,3.0455149
7.39,2.58,2.931597025,3.357875403
7.76,2.78,3.078375225,3.618175822
8.76,3.58,3.475073063,4.659377497
9.51,4.04,3.772596442,5.25806846
14.07,7.69,5.581538585,10.0085511
17.02,10.09,6.751797208,13.13215613
46.73,36.54,18.53768998,47.55688652
116.8,99.17,46.33430751,129.0699627
166.8,144.4,66.16919943,187.9369024
250.4,217.5,99.33313871,283.0767055
