scaled-distance_english,scaled_ppd_english,scaled-distance_metric,scaled_ppd_metric
1.14,0.19,0.452235536,0.247285398
1.14,0.2,0.452235536,0.260300419
1.28,0.16,0.507773233,0.208240335
1.28,0.23,0.507773233,0.299345482
2.34,1.03,0.928272942,1.340547157
2.34,1.27,0.928272942,1.65290766
3.11,1.13,1.233730277,1.470697366
3.11,1.25,1.233730277,1.626877618
3.11,1.33,1.233730277,1.730997785
3.11,1.56,1.233730277,2.030343267
3.11,1.62,1.233730277,2.108433393
4.2,1.25,1.666130921,1.626877618
4.2,1.27,1.666130921,1.65290766
4.2,1.29,1.666130921,1.678937701
4.2,1.32,1.666130921,1.717982764
4.2,1.64,1.666130921,2.134463434
4.2,1.88,1.666130921,2.446823937
4.2,1.91,1.666130921,2.485869
5.77,1.51,2.288946527,1.965268162
5.77,1.58,2.288946527,2.056373309
5.77,1.6,2.288946527,2.082403351
5.77,1.72,2.288946527,2.238583602
5.77,1.62,2.288946527,2.108433393
5.77,1.94,2.288946527,2.524914063
8.28,2.19,3.284658101,2.850289586
8.28,2.24,3.284658101,2.915364691
8.28,2.27,3.284658101,2.954409754
8.28,2.32,3.284658101,3.019484858
8.28,2.33,3.284658101,3.032499879
8.28,2.51,3.284658101,3.266770256
8.28,2.58,3.284658101,3.357875403
11.71,2.76,4.645331686,3.59214578
11.71,2.83,4.645331686,3.683250926
11.71,2.99,4.645331686,3.891491261
11.71,3.03,4.645331686,3.943551345
11.71,3.04,4.645331686,3.956566366
17.56,3.17,6.96601404,4.125761638
17.56,3.26,6.96601404,4.242896827
17.56,3.24,6.96601404,4.216866785
17.56,3.28,6.96601404,4.268926869
17.56,3.35,6.96601404,4.360032015
17.56,3.41,6.96601404,4.438122141
17.56,3.42,6.96601404,4.451137162
35.13,4.09,13.93599506,5.323143565
35.13,4.16,13.93599506,5.414248712
58.55,4.2,23.22665843,5.466308795
58.55,4.55,23.22665843,5.921834528
35.13,4.7,13.93599506,6.117059842
199.9,6.02,79.29989787,7.835042607
428.4,7.6,169.9453539,9.891415915
199.4,6.76,79.10154896,8.798154156
428.4,8.05,169.9453539,10.47709186
428.4,8.34,169.9453539,10.85452747
428.4,8.43,169.9453539,10.97166265
428.4,8.43,169.9453539,10.97166265
