scaled-distance_english,scaled_ppd_english,scaled-distance_metric,scaled_ppd_metric
3.4,1.3,1.34877265,1.691952722
4.36,1.74,1.729602575,2.264613644
4.66,2,1.848611926,2.603004188
4.99,1.69,1.979522213,2.199538539
5.02,1.64,1.991423148,2.134463434
5.02,1.67,1.991423148,2.173508497
5.57,2.1,2.209606959,2.733154398
6.11,1.87,2.423823792,2.433808916
6.84,2.09,2.713413214,2.720139377
6.89,1.74,2.733248106,2.264613644
6.89,1.81,2.733248106,2.35571879
6.89,2.04,2.733248106,2.655064272
7.39,2.04,2.931597025,2.655064272
7.39,2.09,2.931597025,2.720139377
7.39,2.1,2.931597025,2.733154398
7.76,1.86,3.078375225,2.420793895
8.76,2.26,3.475073063,2.941394733
9.51,2.51,3.772596442,3.266770256
14.07,3.03,5.581538585,3.943551345
17.02,3.15,6.751797208,4.099731597
46.73,4.3,18.53768998,5.596459005
46.73,4.33,18.53768998,5.635504068
116.8,5.74,46.33430751,7.47062202
116.8,5.81,46.33430751,7.561727167
166.9,5.71,66.20886921,7.431576958
166.9,5.83,66.20886921,7.587757209
250.4,6.09,99.33313871,7.926147753
