"","","RELATIVE  ERROR  DETERMINATIONS","","FOR","",""
"","","POSTTIVE  DURATION","","","",""
"","Aet+s","Aat+t","DIFF.","","","R.E."
"9.493","2.7080","2.5589","",".149","",".058275"
"9.513","2.5110","2.5616","-","s051","-.","019738"
"11.710","3.0290","2.8010","",".228","",".081400"
"IL.710","3.0170","2.8010","","Z36","",".084256"
"11.710","2.7610","2.8010","-",".040","","-. UL4281"
"11.LO","2.8320","2.8010","",".03L","",".011067"
"11.71G","2.9900","2.8010","",".189","",".067476"
"14.070","3.0260","3.0156","",".010","",".003A49"
"14.100","2.7600","3.0180","-",".258","-.","085487"
"17.020","3.1490","3.2316","-",".083","-.","0Z5560"
"17.560","3.2600","3.2748","-",".015","","-.004519"
"17.560","3.4080","3.2748","",".133","",".040674"
"17.560","3.2370","3.2748","-",".038","-.","011543"
"17.560","3.2810","3.2748","",".C06","","e001893"
"17.560","3.3460","3.2748","",".071","",".021742"
"17.560","3.1740","3.2748","-",".100","-.","030415"
"17.560","3.4220","3.2748","",".147","",".044949"
"20.340","3.9270","3.4370","",".490","",".L42566"
"35.L3C","4.0890","4.0852","",".004","",".000930"
"35.130","4.1630","4.0852","",".078","",".0190'4"
"35.130","4.7000","4.0852","",".6L5","",".L50494"
"35.620","4.5010","4.1048","",".396","",".096521"
"42.490","4.3560","4.3197","",".036","",".008408"
"42.490","4.2790","4.3197","-",".041","-.","009417"
"42.490","4.2840","4.3197","-",".036","-.","008260"
